datetime,candle,direction,confidence,grade,score,price,tp_pips,sl_pips,rsi,m5_context,reason
2026-05-11 23:00:02,2026-05-11 23:00,BUY,46.3,SOFT,6,4752.29,18,10,,DOWN,"EMA9 > EMA21 | bull trend | momentum +23.9  [score=6/3  [EMA fast bull, EMA slow bull, mom +23.9, accelerating, bull candle, strong body]]"
2026-05-11 23:15:02,2026-05-11 23:15,SELL,64.5,GOOD,4,4751.01,28,12,,DOWN,RSI overbought (87 > 75) | ATR 21th pct | momentum +17.58
2026-05-12 10:45:02,2026-05-12 10:45,BUY,47.2,SOFT,4,4691.49,18,10,,UP,"RSI 34 | rejection wick  [score=4/3  [RSI 34 ok, RSI near oversold, wick rejection, strong body]]"
2026-05-12 11:15:02,2026-05-12 11:15,BUY,47.0,SOFT,3,4692.09,18,10,,UP,"RSI 38 | rejection wick  [score=3/3  [RSI 38 ok, RSI near oversold, wick rejection]]"
2026-05-12 11:30:02,2026-05-12 11:30,BUY,47.2,SOFT,6,4700.53,18,10,,UP,"RSI 52  [score=6/3  [accelerating, RSI 52 ok, bull candle, ENGULFING, strong body]]"
2026-05-12 11:45:02,2026-05-12 11:45,BUY,46.9,SOFT,5,4704.54,18,10,,UP,"momentum +4.2 | RSI 58 | rejection wick  [score=5/3  [mom +4.2, accelerating, RSI 58 ok, bull candle, wick rejection]]"
2026-05-12 12:00:02,2026-05-12 12:00,BUY,46.9,SOFT,5,4706.89,18,10,,UP,"momentum +4.2 | RSI 58 | rejection wick  [score=5/3  [mom +4.2, accelerating, RSI 58 ok, bull candle, wick rejection]]"
2026-05-12 12:30:02,2026-05-12 12:30,BUY,49.1,SOFT,3,4698.13,18,10,,UP,"momentum +5.5 | RSI 44  [score=3/3  [mom +5.5, RSI 44 ok, strong body]]"
2026-05-12 15:15:02,2026-05-12 15:15,BUY,48.6,SOFT,4,4664.87,18,10,,DOWN,"RSI 30  [score=4/3  [accelerating, RSI 30 ok, RSI near oversold, strong body]]"
2026-05-12 18:15:03,2026-05-12 18:15,BUY,46.8,SOFT,7,4681.58,18,10,,UP,"momentum +10.2 | RSI 58 | rejection wick  [score=7/3  [mom +10.2, accelerating, RSI 58 ok, bull candle, wick rejection, ENGULFING]]"
2026-05-12 18:30:02,2026-05-12 18:30,BUY,47.1,SOFT,3,4685.15,18,10,,UP,"momentum +8.4  [score=3/3  [mom +8.4, RSI 64 ok, bull candle]]"
2026-05-12 19:15:02,2026-05-12 19:15,SELL,54.0,SOFT,5,4700.66,18,10,,UP,RSI overbought (78 > 75) | ATR 45th pct | momentum +21.12
2026-05-12 19:30:02,2026-05-12 19:30,SELL,57.3,SOFT,4,4705.0,18,10,,UP,RSI overbought (81 > 75) | ATR 30th pct | momentum +22.27
2026-05-12 19:45:02,2026-05-12 19:45,SELL,61.7,GOOD,4,4709.41,28,12,,UP,RSI overbought (84 > 75) | ATR 28th pct | momentum +23.88
2026-05-12 20:00:03,2026-05-12 20:00,SELL,61.7,GOOD,4,4715.71,28,12,,UP,RSI overbought (84 > 75) | ATR 28th pct | momentum +23.88
2026-05-14 08:45:02,2026-05-14 08:45,B_202605140845_46971,BUY,51.0,SOFT,3,4697.15,18,10,48.9,-8.5,94,+2.06,DOWN,"EMA bull | RSI 49  [score=3/1  [EMA fast bull, RSI 49 ok, strong body]]",OPEN
2026-05-14 09:00:02,2026-05-14 09:00,B_202605140900_46936,BUY,46.6,SOFT,3,4693.61,18,10,44.8,-15.7,79,+1.27,DOWN,"EMA bull | RSI 45  [score=3/1  [EMA fast bull, RSI 45 ok, strong body]]",OPEN
2026-05-14 09:05:44,2026-05-14 11:45,B_202605141145_46922,BUY,46.6,SOFT,3,4692.25,18,10,44.8,-15.7,79,+1.27,DOWN,"EMA bull | RSI 45  [score=3/1  [EMA fast bull, RSI 45 ok, strong body]]",OPEN
2026-05-14 09:15:00,2026-05-14 12:00,B_202605141200_46940,BUY,46.2,SOFT,6,4694.02,18,10,46.5,+1.4,72,+0.80,DOWN,"EMA bull | mom +1.4 | RSI 46 | wick rejection  [score=6/1  [EMA fast bull, mom +1.4, accelerating, RSI 46 ok, bull candle, wick rejection]]",OPEN
